airport_id,airport_name,iata_code,icao_code
276,Daytona Beach International Airport,DAB,KDAB
277,Public,BCT,KBCT
278,Governors Harbour,GHB,MYEM
279,Springdale Municipal,SPZ,KASG
280,Republic Field,FRG,KFRG
281,,OCF,KOCF
282,Manchester-boston Regional Airport,MHT,KMHT
283,Fort Lauderdale Executive,FXE,KFXE
284,Spirit Of St Louis,SUS,KSUS
285,Heydar Aliyev International (Bina International),GYD,UBBB
286,North Philadelphia,PNE,KPNE
287,Pease International,PSM,KPSM
288,Findlay,FDY,KFDY
289,Frankfurt-Hahn,HHN,EDFH
290,Beverly Municipal Airport,BVY,KBVY
291,Malcolm Mckinnon,SSI,KSSI
292,Addison Airport,ADS,KADS
293,Westmoreland County,LBE,KLBE
294,Winnipeg,YWG,CYWG
295,Chestercounty Carlson,CTH,KMQS
296,Mount Comfort Airport,QQQ,KMQJ
297,Santa Fe,SAF,KSAF
298,White River,LEB,KLEB
299,Pinehurst-S. Pines,SOP,KSOP
300,,QQY,KBUY
301,Van Nuys,VNY,KVNY
302,Hattiesburg-Laurel Regional,PIB,KPIB
303,Columbia Regional,COU,KCOU
304,Clinton Field,ILN,KILN
305,St Gatien,DOL,LFRG
306,Wilkes-Barre/Scranton International Airport,AVP,KAVP
307,Monterey Peninsula,MRY,KMRY
308,Allegheny County,AGC,KAGC
309,Schenectady County,SCH,KSCH
310,Gainesville Regional,GNV,KGNV
311,Smyrna,MQY,KMQY
312,Montauk Airport,MTP,KMTP
313,Craig Municipal,CRG,KCRG
314,Marsh Harbour Airport,MHH,MYAM
315,Telluride Regional,TEX,KTEX
316,Penn Valley,SEG,KSEG
317,Jeffco,BJC,KBJC
318,,PSF,KPSF
319,Robert Gray AAF,GRK,KGRK
320,Municipalcipal/Spaatz Field,RDG,KRDG
321,Tamiami,TMB,KTMB
322,Luton Airport,LTN,EGGW
323,Sofia,SOF,LBSF
324,Municipal,MHE,KMHE
325,John C. Munroe,YHM,CYHM
326,Willow Run,YIP,KYIP
327,Blagnac,TLS,LFBO
328,New Century Aircenter Airport,JCI,KIXD
329,Suffolk County,FOK,KFOK
330,Wurtsmith AFB,OSC,KOSC
331,Cote D'azur International Airport,NCE,LFMN
332,Erie International Airport Tom Ridge Field,ERI,KERI
333,,GSB,KGSB
334,Gulfport-Biloxi International,GPT,KGPT
335,Gardermoen,OSL,ENGM
336,Fuzhou,FOC,ZSFZ
337,Arapahoe Co,APA,KAPA
338,Sanford,SFM,KSFM
339,State,NPT,KUUU
340,Florence,FLO,KFLO
341,Pal-Waukee,PWK,KPWK
342,Ottawa Macdonald-Cartier International,YOW,CYOW
343,Fort Worth Alliance,AFW,KAFW
344,,MNZ,KHEF
345,Witham Field,SUA,KSUA
346,Bush Field,AGS,KAGS
347,Municipal,FAY,KFAY
348,Shenandoah Valley,SHD,KSHD
349,Sacramento International,SMF,KSMF
350,South Bend Regional,SBN,KSBN
351,Stuttgart Echterdingen,STR,EDDS
352,Igor I. Sikorsky Memorial,BDR,KBDR
353,Arlanda,ARN,ESSA
354,Huntsville International - Carl T. Jones Field,HSV,KHSV
355,,MIE,KMIE
356,Capital City,HAR,KCXY
357,NAS,NHZ,KBXM
358,Harrisburg International,MDT,KMDT
359,Austin-straubel Field,GRB,KGRB
360,St Lucie County,FPR,KFPR
361,Marco Island,MRK,KMKY
362,Mc Carran International,LAS,KLAS
363,Pontiac,PTK,KPTK
364,Concord-Padgett Regional Airport,USA,KJQF
365,East Hampton,HTO,KJPX
366,Municipal,AIK,KAIK
367,Cape May County,WWD,KWWD
368,Nadi International,NAN,NFFN
369,Tarbes Ossun Lourdes,LDE,LFBT
370,Liszt Ferenc International,BUD,LHBP
371,Bob Hope,BUR,KBUR
372,Ontario International,ONT,KONT
373,Albuquerque International,ABQ,KABQ
374,Kenosha Regional Airport,ENW,KENW
375,Lehigh Valley International,ABE,KABE
376,Tyler Pounds Regional Airport,TYR,KTYR
377,Robert J. Miller,MJX,KMJX
378,,QQN,KJWN
379,Capodichino,NAP,LIRN
380,Prague Vaclav Havel Airport,PRG,LKPR
381,Sussex County,GED,KGED
382,Eugene,EUG,KEUG
383,Narita International Airport,NRT,RJAA
384,,DWC,OMDW
385,Toronto City Centre Airport,YTZ,CYTZ
386,Las Bajadas,VER,MMVR
387,Glasgow International,GLA,EGPF
388,Glenn L Martin,MTN,KMTN
389,Avra Valley,AVW,KAVQ
390,Memorial,OWD,KOWD
391,Indianapolis Executive Airport,TYQ,KTYQ
392,Charleston Executive Airport,JZI,KJZI
393,Tucson International Airport,TUS,KTUS
394,NAS,NCO,KOQU
395,,DSI,KDTS
396,Fontanarossa,CTA,LICC
397,Greater Wilmington,ILG,KILG
398,Dutchess County,POU,KPOU
399,Westerly State,WST,KWST
400,Mirabel,YMX,CYMX
401,Knox County Regional,RKD,KRKD
402,St. Louis Downtown Airport,CPS,KCPS
403,North Eleuthera Airport,ELH,MYEH
404,Rick Husband Amarillo International,AMA,KAMA
405,Joe Foss Field Airport,FSD,KFSD
406,Albert J Ellis,OAJ,KOAJ
407,Metropolitan Oak International,OAK,KOAK
408,Municipal Airport,AUZ,KARR
409,Oconee County,CEU,KCEU
410,Ames,AMW,KAMW
411,Stansted,STN,EGSS
412,Ohio State University,OSU,KOSU
413,Palese,BRI,LIBD
414,Meacham Field,FTW,KFTW
415,Euroairport Swiss,BSL,LFSB
416,Punta Raisi,PMO,LICJ
417,Tallahassee Regional Airport,TLH,KTLH
418,WK Kellogg Regional,BTL,KBTL
419,Provincetown,PVC,KPVC
420,Zadar,ZAD,LDZD
421,Bar Harbor,BHB,KBHB
422,Goose Bay,YYR,CYYR
423,Long Beach Municipal,LGB,KLGB
424,Manta,MEC,SEMT
425,Franjo Tudman International Airport,ZAG,LDZA
426,Emmet County,PLN,KPLN
427,Rutland,RUT,KRUT
428,Dillant-Hopkins,EEN,KEEN
429,Glacier Park International,FCA,KGPI
430,Capital City,LAN,KLAN
431,Kangerlussuaq,SFJ,BGSF
432,Santa Barbara Metropolitan Area,SBA,KSBA
433,Istanbul Airport,IST,LTBA
434,Montgomery County,GAI,KGAI
435,NW Florida Beaches Int,ECP,KECP
436,Municipal,LCI,KLCI
437,Elmira Corning Regional,ELM,KELM
438,Outagamie County,ATW,KATW
439,Berlin Brandenburg Airport,BER,BER
440,Southern California Logistics,VCV,KVCV
441,Raleigh-durham International Airport,RDU,RDU
442,Jorge Chavez International,LIM,SPIM
443,Nashville International,BNA,BNA
444,Port Hawkesbury,YPS,CYPD
445,Düsseldorf International Airport,DUS,EDDL
446,Le Bourget,LBG,LFPB
447,Baghdad International,BGW,ORBI
448,Bateen,AZI,OMAD
449,Lancaster,LNS,KLNS
450,,LUZ,EPLB
451,Youngstown,YNG,KYNG
452,Sonoma County,STS,KSTS
453,Bahrain International,BAH,OBBI
454,Municipal,ABR,KABR
455,Tashkent International,TAS,UZTT
456,Scottsdale Municipalcipal,SCF,KSDL
457,New London,GON,KGON
458,Boeing Field/King County International Airport,BFI,KBFI
459,Burke Lakefront,BKL,KBKL
460,Warren County,BWG,KBWG
461,Frederick Municipal,FDK,KFDK
462,Gary/Chicago International,GYY,KGYY
463,Flying Cloud,FCM,KFCM
464,Kuwait International,KWI,OKBK
465,Novo Alexeyevka International,TBS,UGTB
466,Provo,PVU,KPVU
467,Lawrence,LWM,KLWM
468,,WGO,KOKV
469,Wiley Post,PWA,KPWA
470,Memorial,UGN,KUGN
471,Malta International,MLA,LMML
472,Winder,WDR,KWDR
473,Snohomish County - Paine Field,PAE,KPAE
474,,SUM,KSMS
475,Municipal,OGB,KOGB
476,Renton,RNT,KRNT
477,Henry E Rohlsen,STX,TISX
478,St Hubert,YHU,CYHU
479,,ADW,KADW
480,Ryan,BTR,KBTR
481,Dougherty County,ABY,KABY
482,The Florida Keys Marathon,MTH,KMTH
483,Menara,RAK,GMMX
484,Samaná El Catey International,AZS,MDCY
485,Danbury Municipal Airport,DXR,KDXR
486,Easton,ESN,KESN
487,Sedalia,DMO,KDMO
488,Montrose Regional Airport,MTJ,KMTJ
489,Garfield County,RIL,KRIL
490,Millville,MIV,KMIV
491,Québec,YQB,CYQB
492,Larnaca,LCA,LCLK
493,County,WSG,KAFJ
494,,DYS,KDYS
495,Page Field,FMY,KFMY
496,Mountain Home AFB,MUO,KMUO
497,Kissimmee Gateway,ISM,KISM
498,Malargue,LGS,SAMM
499,Baldwin County,MLJ,KMLJ
500,Cambria County,JST,KJST
501,Municipal,DEH,KDEH
502,Wings Field,BBX,KLOM
503,North Central,SFZ,KSFZ
504,Space Coast Regional,TIX,KTIX
505,Smith-Reynolds,INT,KINT
506,Greater Binghamton,BGM,KBGM
507,Guantanamo NAS,NBW,MUGM
508,Preston-glenn Field,LYH,KLYH
509,North Air Terminal,VGT,KVGT
510,Dupage County,DPA,KDPA
511,,NUQ,KNUQ
512,Westover ARB/Metropolitan,CEF,KCEF
513,Springfield-Branson Rg,SGF,KSGF
514,Georgetown,GGE,KGGE
515,Lake City,LCQ,KLCQ
516,Rockwood Municipal Airport,RKW,KRKW
517,,RBK,
518,Laredo International Airport,LRD,KLRD
519,,PCT,
520,Zanesville,ZZV,KZZV
521,Dannelly Field,MGM,KMGM
